track_lat,vehicle_lat,track_lon,vehicle_lon,track_alt,vehicle_alt
43.25709,43.2570897,-79.93648,-79.936483,3,105.96
43.25704508423579,43.2570819,-79.93649233464691,-79.9364801,3,106.09
43.257000168471585,43.2570647,-79.93650466928472,-79.9364776,3,106.1
43.25695525270738,43.2570134,-79.93651700391342,-79.9364801,3,106.09
43.25691033694317,43.2569623,-79.93652933853303,-79.9364892,3,106.09
43.25695525270738,43.2569216,-79.93654167314355,-79.936501,3,106.1
43.25691033694317,43.2569078,-79.93655400776316,-79.9365176,3,106.1
43.256865421178965,43.2568963,-79.93656634237368,-79.93653,3,106.09
43.25682050541476,43.2568757,-79.93657867697509,-79.9365383,3,106.09
43.25677558965055,43.256825,-79.9365910115674,-79.9365556,3,106.09
43.256730673886345,43.2567856,-79.93660334615062,-79.9365665,3,106.09
43.25668575812214,43.2567537,-79.93661568072474,-79.9365753,3,106.08
43.25664084235793,43.2567038,-79.93662801528977,-79.9365864,3,106.08
43.256595926593725,43.2566494,-79.93664034984569,-79.9365989,3,106.09
43.25655101082952,43.2565944,-79.93665268439251,-79.9366126,3,106.09
43.256595926593725,43.2565556,-79.93666501893024,-79.9366244,3,106.1
43.25655101082952,43.2565447,-79.93667735347707,-79.9366406,3,106.11
43.25650609506531,43.2565339,-79.9366896880148,-79.9366535,3,106.12
43.256461179301105,43.2565051,-79.93670202254343,-79.936666,3,106.12
43.2564162635369,43.2564753,-79.93671435706295,-79.9366753,3,106.12
43.25637134777269,43.2564159,-79.93672669157338,-79.936689,3,106.13
43.256326432008485,43.2563785,-79.93673902607472,-79.9366979,3,106.13
43.25628151624428,43.2563275,-79.93675136056696,-79.9367124,3,106.13
43.25623660048007,43.2562787,-79.9367636950501,-79.9367255,3,106.13
43.256191684715866,43.2562319,-79.93677602952414,-79.9367385,3,106.12
43.25623660048007,43.2561962,-79.93678836398908,-79.9367517,3,106.12
43.256191684715866,43.2561887,-79.93680069846312,-79.9367624,3,106.11
43.25614676895166,43.2561821,-79.93681303292806,-79.9367743,3,106.11
43.25610185318745,43.2561564,-79.9368253673839,-79.9367847,3,106.1
43.256056937423246,43.2561175,-79.93683770183065,-79.9367967,3,106.1
43.25601202165904,43.2560703,-79.9368500362683,-79.9368117,3,106.09
43.25596710589483,43.2560196,-79.93686237069684,-79.9368249,3,106.09
43.255922190130626,43.2559676,-79.9368747051163,-79.9368378,3,106.09
43.25587727436642,43.2559177,-79.93688703952665,-79.9368491,3,106.09
43.25583235860221,43.2558716,-79.93689937392791,-79.9368605,3,106.08
43.25587727436642,43.2558372,-79.93691170832007,-79.936873,3,106.09
43.25583235860221,43.2558306,-79.93692404272133,-79.9368841,3,106.09
43.255787442838006,43.255824,-79.93693637711348,-79.936896,3,106.1
43.2557425270738,43.2557982,-79.93694871149654,-79.9369074,3,106.1
43.25569761130959,43.2557586,-79.9369610458705,-79.9369206,3,106.1
43.255652695545386,43.2557116,-79.93697338023537,-79.9369358,3,106.1
43.25560777978118,43.255661,-79.93698571459115,-79.9369491,3,106.11
43.25556286401697,43.2556167,-79.93699804893781,-79.9369583,3,106.12
43.255517948252766,43.2556027,-79.93701038327538,-79.936961,3,106.12
43.25547303248856,43.255596,-79.93702271760385,-79.9369624,3,106.12
43.255517948252766,43.2555725,-79.93703505192323,-79.9369732,3,106.12
43.25547303248856,43.2555357,-79.9370473862517,-79.9369921,3,106.11
43.25542811672435,43.2554899,-79.93705972057109,-79.9370113,3,106.11
43.255383200960146,43.2554384,-79.93707205488137,-79.9370308,3,106.1
43.25533828519594,43.2553862,-79.93708438918254,-79.9370463,3,106.1
43.25529336943173,43.2553364,-79.93709672347462,-79.9370612,3,106.1
43.25524845366753,43.2552904,-79.93710905775761,-79.9370755,3,106.09
43.25520353790332,43.2552433,-79.9371213920315,-79.9370873,3,106.1
43.25515862213911,43.2551978,-79.9371337262963,-79.9370997,3,106.1
43.25511370637491,43.2551527,-79.937146060552,-79.937112,3,106.1
43.25515862213911,43.2551203,-79.93715839479859,-79.93712,3,106.11
43.25511370637491,43.2551138,-79.93717072905429,-79.937129,3,106.1
43.2550687906107,43.2551071,-79.93718306330088,-79.9371477,3,106.1
43.25502387484649,43.2550808,-79.93719539753837,-79.937158,3,106.1
43.25497895908229,43.2550404,-79.93720773176678,-79.9371694,3,106.1
43.25493404331808,43.2549919,-79.93722006598608,-79.9371814,3,106.1
43.254889127553874,43.2549398,-79.9372324001963,-79.9371958,3,106.1
43.25484421178967,43.2548895,-79.93724473439741,-79.9372084,3,106.09
43.25479929602546,43.254841,-79.93725706858942,-79.9372211,3,106.09
43.254754380261254,43.2547941,-79.93726940277233,-79.9372356,3,106.09
43.25479929602546,43.2547587,-79.93728173694615,-79.9372471,3,106.09
43.254754380261254,43.2547494,-79.93729407112906,-79.9372584,3,106.09
43.25470946449705,43.2547406,-79.93730640530288,-79.9372724,3,106.09
43.25466454873284,43.2547126,-79.9373187394676,-79.9372828,3,106.1
43.254619632968634,43.2546735,-79.93733107362323,-79.937297,3,106.1
43.25457471720443,43.254627,-79.93734340776976,-79.9373105,3,106.1
43.25452980144022,43.2545767,-79.93735574190718,-79.937323,3,106.1
43.254484885676014,43.2545266,-79.93736807603551,-79.9373335,3,106.1
43.25443996991181,43.2544793,-79.93738041015474,-79.9373451,3,106.11
43.2543950541476,43.2544334,-79.93739274426488,-79.9373586,3,106.11
43.25443996991181,43.2543991,-79.93740507836593,-79.937369,3,106.11
43.2543950541476,43.2543907,-79.93741741247607,-79.9373795,3,106.11
